Title,Link,Source,Summary,Date
ČTÚ zveřejnil výroční zprávu za rok 2018,https://www.ctu.cz/tiskova-zprava-ctu-zverejnil-vyrocni-zpravu-za-rok-2018,"ČTÚ, 2018","V mobilních sítích se v roce 2018 přeneslo 368 petabajtů dat. To je více než dvojnásobně než v roce předešlém. Zásluhu na tom má služba fixní LTE. Zatímco přes mobilní službu uživatelé přenesli celkem 135 PB, přes fixní LTE objem přenesených dat překonal 234 PB.",01.05.2019
Vodafone naštval zákazníky. Kvůli změně účtování hovorů zaplatí více,https://www.idnes.cz/mobil/mobilni-operatori/vodafone-minutova-tarifikace-predplacena-karta.A190521_110255_mobilni-operatori_LHR,"iDnes.cz, 22. května","Vodafone od července razantně mění způsob účtování hovorů u předplacených karet. Namísto současné tarifikace 60+1, kdy po první provolané minutě účtuje hovor po sekundách, budou zákazníci platit nově za každou započatou minutu. Za 61 provolaných sekund tedy zaplatí jako za dvouminutový hovor.",22.05.2019
"Rozhovor: Česko zaspalo v budování rychlých internetových sítí. Ani čtvrtý operátor spásu na trh nepřinese, říká bývalý šéf Telecomu",https://domaci.ihned.cz/c1-66567860-cesko-zaspalo-v-budovani-rychlych-internetovych-siti-ani-ctvrty-operator-spasu-na-trh-neprinese-rika-byvaly-sef-telecomu,"Hospodářské, 8. května, 2019","HN: V Česku se teď hodně mluví také o vysoké ceně mobilních dat. Jak se na vývoj mobilního trhu díváte jako bývalý šéf státního Telecomu, z kterého se postupně vyvinul dnešní operátor O2?

Cenu dat příliš nesleduji, musím ale říci, že nabídky v zahraničí jsou mnohem výhodnější. Mám chatu v Rakousku, kde využívám mobilní internet. Za připojení o rychlosti 20 megabitů za sekundu přitom platím asi 26 eur (670 korun), a to mám neomezená data. Je škoda, že podobné balíčky s neomezenými daty nenabízejí také čeští operátoři.

Moc ale nevěřím tomu, že tuhle situaci vyřeší příchod nějakého čtvrtého operátora, který by ostatní firmy na trhu tlačil do zlevňování. Operátoři netvoří kartel, ale navzájem své nabídky sledují. Kdyby nový operátor dal nižší ceny a lepší nabídky, tak by ostatní na trhu jeho ceny na čas srovnali. Nováčkovi by se tak dlouhodobě nepodařilo svou cenovou politiku udržet a musel by s nimi srovnat krok.",08.05.2019
"Český telekomunikační úřad tvrdí, že se 5G sítí dočkáme už za rok",https://www.idnes.cz/mobil/mobilni-operatori/aukce-kmitocty-prvni-5g-site-v-cervnu-2020.A190610_171354_mobilni-operatori_LHR,"mobil.idnes, 10. června 2019","Již v dubnu 2020 by tuzemští operátoři mohli získat vydražené kmitočty v pásmech 700 a 3 500 MHz pro mobilní sítě 5G, o něž se budou ucházet od ledna v aukci. Sítě páté generace by pak měli postupně spouštět během června. Informoval o tom mluvčí Českého telekomunikačního úřadu Martin Drtina.",10.06.2019
Kmitočty Jaromíra Nováka: Tacitní koluze není kartel,https://www.lupa.cz/clanky/kmitocty-jaromira-novaka-tacitni-koluze-neni-kartel/,"Lupa.cz, 5. června 2019","Tacitní koluzi je třeba ostře odlišovat od protisoutěžních dohod – kartelu. Na rozdíl od protisoutěžní dohody, kterou její aktéři uzavírají dobrovolně, a proto je zakázaná a zavrženíhodná, je volba kooperativní strategie v tacitně koluzivním prostředí v podstatě ekonomicky racionální a z pohledu účastníků tacitní koluze nutná.",05.06.2019
T-Mobile zlevnil roční datový balíček pro Twist. Předplacenkáři nyní ušetří polovinu,https://www.mobilmania.cz/clanky/t-mobile-zlevnil-rocni-datovy-balicek-pro-twist-predplacenkari-nyni-usetri-polovinu/sc-3-a-1345313/default.aspx,"MobilMania.cz, 10. června 2019","T-Mobile přichází se zvýhodněným ročním datovým balíčkem pro zákazníky předplacených karet Twist. Ti si od června mohou pořídit cenově zvýhodněný datový balíček Twist internet na rok za sníženou cenu 499 Kč. Běžně stál tento balíček dvojnásobek. Balíček je primárně určen jako řešení rodiče, kteří nemusí každý měsíc pořizovat data pro své děti a zároveň nebude hrozit, že dítě vyčerpá všechna data najednou. Další cílovou skupinou jsou podle operátora senioři.",10.06.2019
"Pražská energetika končí se svým mobilním operátorem, tisíce lidí převede k T-Mobile",https://www.e15.cz/byznys/obchod-a-sluzby/prazska-energetika-konci-se-svym-mobilnim-operatorem-tisice-lidi-prevede-k-t-mobile-1359810,"E15, 14. června 2019","Služba PREmobil poskytující mobilní tarify zákazníkům Pražské energetiky v létě skončí. Smlouvy tisíců klientů energetická společnost převede pod operátora T-Mobile, který službu PREmobil technicky zajišťoval.",10.07.2019
Kmitočty Jaromíra Nováka: Taky už máte neomezená data?,https://www.lupa.cz/clanky/kmitocty-jaromira-novaka-taky-uz-mate-neomezena-data/,"Lupa.cz, 3. července 2019","Dva ze tří mobilních operátorů odstartovali léto novou tarifní nabídkou, která je nějaká divná. Obsahuje neomezená data. Věc, kterou údajně podle některých zástupců operátorů chce jen pár politiků a novinářů z Twitteru. Zájem o tuto nabídku u jednoho operátora odrovnal aplikaci i web. Jen první den si ji aktivovalo 100 000 zákazníků. (Přes víkend dokonce 300 000 zákazníků.)

",03.07.2019
Vodafone chce do roka v Karlových Varech spustit první komerční 5G síť,https://www.lupa.cz/aktuality/vodafone-chce-do-roka-v-karlovych-varech-spustit-prvni-komercni-5g-sit/,"Lupa.cz, 4. července 2019","Vodafone už 5G síť ve Varech začal testovat. O víkendu předvedl přenos živého hologramu z Prahy a naměřil rychlosti přesahující 900 Mb/s. Vše proběhlo na již vydražené frekvenci 3,7 GHz, na které další provideři v dnešní době provozují fixní bezdrátový internet. Ti ho také označují jako 5G a také běží v komerčním provozu.",04.07.2019
Ceny 5G smartphonů klesnou pod 6 500 korun. Ale počkáme si.,https://www.idnes.cz/mobil/tech-trendy/ceny-telefonu-pro-5g-pokles-ceny.A190703_130450_mob_tech_jm,"iDnes.cz, 6. července 2019","Zatím jsou sítě páté generace novinkou, mají podporu jen několika operátorů po celém světě a funguje na nich pouze omezené množství smartphonů. Většinou jsou to špičkově vybavené, a tedy velmi drahé přístroje. Ale postupně má cena chytrých telefonů s podporou 5G klesat.",06.07.2019
